epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6353,2.04426,4.71824,3.42975,1.7967,0,0.00498,0.21429,0.05643,0.02792,0.00166,0.07143,0.00725,0.00508,1.74689,4.0891,3.5826,1.64057,0,0.00023338,0.00023338,0.00023338
2,43.5017,1.92427,3.9668,3.16977,1.65311,0,0.00769,0.28571,0.09197,0.04103,0.00192,0.07143,0.0725,0.04108,1.96569,4.01458,3.48856,1.79249,0,0.000473858,0.000473858,0.000473858
3,52.3114,1.91722,3.76468,2.7681,1.62429,0,0.01059,0.61905,0.0893,0.04162,0.00487,0.40476,0.07447,0.04419,2.15175,3.7494,3.3688,1.79838,0,0.000704434,0.000704434,0.000704434
4,61.7109,1.80643,3.55618,2.45316,1.55615,0,0.9696,0.07143,0.25162,0.13058,0.9696,0.07143,0.21341,0.103,1.85403,3.79302,2.9853,1.75465,0,0.000925108,0.000925108,0.000925108
5,70.1142,1.83766,3.63336,2.49351,1.59522,0,0.96823,0.07143,0.31706,0.18783,0.96823,0.07143,0.29952,0.14535,1.92993,4.18291,3.2267,1.82261,0,0.00113588,0.00113588,0.00113588
6,78.1858,1.75672,3.3412,2.24625,1.54574,0,0.64679,0.14286,0.3205,0.21183,0.95201,0.07143,0.29019,0.14975,1.75562,4.03771,2.8191,1.86434,0,0.00133675,0.00133675,0.00133675
7,86.1679,1.78873,3.3782,2.39247,1.59369,0,0.66766,0.34967,0.4649,0.28461,0.57711,0.33359,0.41296,0.21305,1.85431,3.66272,2.78546,2.0888,0,0.00146896,0.00146896,0.00146896
8,94.535,1.76566,3.23863,2.2219,1.54649,0,0.77352,0.39197,0.48891,0.2299,0.77352,0.39197,0.47091,0.21433,1.86519,3.61828,2.48379,1.88347,0,0.00143595,0.00143595,0.00143595
9,102.479,1.72016,3.29939,2.14848,1.49043,0,0.63512,0.46066,0.50804,0.20092,0.5673,0.39055,0.47685,0.18873,1.98418,3.15171,2.84404,1.92585,0,0.00140295,0.00140295,0.00140295
10,110.341,1.70665,3.15858,2.26096,1.51415,0,0.58341,0.46239,0.56159,0.24635,0.54089,0.39744,0.48308,0.22077,1.753,2.9436,2.81418,1.75072,0,0.00136994,0.00136994,0.00136994
11,118.149,1.7201,3.27186,2.19197,1.4913,0,0.58341,0.46239,0.56159,0.24635,0.54089,0.39744,0.48308,0.22077,1.753,2.9436,2.81418,1.75072,0,0.00133693,0.00133693,0.00133693
12,125.61,1.70381,3.21587,2.07767,1.49201,0,0.4631,0.47619,0.55722,0.27825,0.39187,0.40476,0.51017,0.25862,1.64509,2.74266,2.95838,1.71794,0,0.00130393,0.00130393,0.00130393
13,134.014,1.63605,3.07508,2.02544,1.4472,0,0.56965,0.40476,0.49769,0.2301,0.56965,0.40476,0.42613,0.20803,1.66794,2.6712,2.60211,1.76026,0,0.00127092,0.00127092,0.00127092
14,142.034,1.59081,3.19199,2.06176,1.453,0,0.40897,0.64286,0.58636,0.27256,0.40897,0.64286,0.58733,0.26953,1.67719,2.79992,3.07547,1.73651,0,0.00123791,0.00123791,0.00123791
15,149.725,1.65169,3.14737,1.99703,1.47293,0,0.46479,0.71429,0.65206,0.2972,0.62902,0.57143,0.55449,0.25848,1.61216,2.82114,2.84526,1.70602,0,0.00120491,0.00120491,0.00120491
16,157.662,1.62131,3.09753,2.06026,1.447,0,0.44578,0.71429,0.57509,0.28126,0.4734,0.39114,0.55919,0.22828,1.54891,2.59765,2.24915,1.62131,0,0.0011719,0.0011719,0.0011719
17,165.823,1.60612,2.94718,1.92751,1.4331,0,0.32389,0.92857,0.45818,0.21871,0.2242,0.71429,0.34859,0.17405,1.64776,2.77435,2.32607,1.58013,0,0.00113889,0.00113889,0.00113889
18,173.604,1.5508,2.92364,1.96123,1.43184,0,0.304,0.77681,0.47569,0.21017,0.23989,0.64286,0.32659,0.17443,1.67501,2.91652,2.6153,1.55146,0,0.00110589,0.00110589,0.00110589
19,181.088,1.4715,2.91728,1.82499,1.38691,0,0.72358,0.53469,0.63856,0.31655,0.42051,0.53697,0.582,0.33484,1.47052,2.58479,2.29539,1.43651,0,0.00107288,0.00107288,0.00107288
20,188.9,1.53336,2.86557,1.82883,1.39835,0,0.74468,0.47619,0.62836,0.33888,0.63945,0.40476,0.53208,0.3295,1.39509,2.57349,2.04153,1.45298,0,0.00103987,0.00103987,0.00103987
